Question,Answer
"You are given a hammer, a battery, a bulb, wires and a switch.
(a) How could you use them to distinguish between samples of metals and non-metals?
(b) Assess the usefulness of these tests in distinguishing between metals and non-metals.","(a) Metals can be beaten into thin sheets with a hammer without breaking. Non-metals cannot be beaten with a hammer to form thin sheets. Non-metals break into pieces when hammered. Metals are malleable, while non-metals are non-melleable. When metals are connected into circuit using a battery, bulb, wires and switch, current passes through the circuit and the bulb glows. When non-metals (like sulphur) are connected, the bulb does not light up at all. Metals are good conductors of electricity.
(b) Because of malleability, metals can be casted into sheets. Metals are good conductors of electricity so these can be used for electrical cables."
"Name two metals which will displace hydrogen from dilute acids and two metals which will not.

","(i) Metals above hydrogen in the activity series like sodium and magnesium displace hydrogen from dilute acids.
(ii) Metals below hydrogen in the activity series like copper, silver do not displace hydrogen from dilute acids."
"In the electrolytic refining of a metal M, what would you take as the anode, the cathode and the electrolyte ?

","Cathode           –      Pure metal
Anode               –     Impure metal
Electrolyte       –     Metal salt solution"
"Give reasons :
(a) Platinum, gold and silver are used to make jewellery.
(b) Sodium, potassium and lithium are stored under oil.
(c) Aluminium is a highly reactive metal, yet it is used to make utensils for cooking.
(d) Carbonate and sulphide ores are usually converted into oxides during the process of extraction","(a) Platinum, gold and silver are used to make jewellery because these are malleable and ductile. These are highly resistant to corrosion.
(b) Sodium, potassium and lithium are very reactive and catch fire when exposed to air. This is due to their low ignition temperature and high reactivity.
(c) Aluminium forms a non-reactive layer of aluminium oxide on its surface. This layer prevents aluminium to react with other substances. That’s why aluminium is used to make cooking utensils.
(d) It is easier to reduce a metal oxide into free metal. Since it is easier to obtain metals from their oxides than from their carbonates or sulphides directly, therefore, the carbonate and sulphide ores are first converted to oxides for extracting the metals."
"You must have seen tarnished copper vessels being cleaned with lemon or tamarind juice. Explain why these sour substances are effective in cleaning the vessels.
",The sour substances such as lemon or tamarind juice contain acids. These acids dissolve the coating of copper oxide or basic copper carbonate present on the surface of tarnished copper vessels and makes them shining red-brown again
"A man went door-to door posing as a goldsmith. He promised to bring back the glitter of old and dull gold ornaments. An unsuspecting lady gave a set of gold bangles to him which he dipped in a particular solution. The bangles sparkled like new but their weight was reduced drastically. The lady was upset but after a futile argument the man beat a hasty repeat. Can you play the detective to find out the nature of the solution he has used ?
","The dishonest goldsmith dipped the gold bangles in aqua-regia (which contains 1 part of concentrated nitric acid and 3 parts of concentrated hydrochloric acid, by volume). Aqua-regia dissolved a considerable amount of gold from gold bangles and hence reduced their weight drastically. The dishonest goldsmith can recover the dissolved gold from aqua-regia by a suitable treatment."
"Give reasons why copper is used to make hot water tanks and not steel (analloy of iron).
","(i) Copper is a better conductor of heat than steel.
(ii) Copper does not corrode easily. But steel corrodes easily.
(iii) Copper does not react with water at any temperature, whereas iron reacts with water on heating."
"Write one example of each of
(i) a metal which is so soft that, it can be cut with knife and a non-metal which is the hardest sustance.
(ii) a metal and a non-metal which exist as liquid at room temperature.","(i) Sodium, carbon (diamond).
(ii)Mercury is liquid metal, bromine is liquid non-metal."
"Mention the names of the metals for the following:
(i) Two metals which are alloyed with iron to make stainless steel.
(ii) Two metals which are used to make jewellery.","(i) Nickel and chromium.
(ii) Gold and platinum."
"Give reason for the following:
(a) School bells are made up of metals.
(b) Electric wires are made up of copper.","(a) It is because metals are sonorous, i.e. they produce sound when struk with a hard substance.
(b) It-is because copper is good conductor of electricity."
"Suggest a method of reduction for the following metals during their metallurgical processes:
(i) metal ‘A’ which is one of the last, second or third position in the reactivity.
(ii) metal ‘B’ which gives vigorous reaction even with water and air.
(iii) metal ‘C’ which is kept in the middle df activity series.","(i) ‘A’ can be obtained by chemical reduction using carbon or carbon monoxide as reducing agent.
(ii) ‘B’ can be obtained by electrolytic reduction.
(iii) ‘C’ can be reduced by reducing agent like ‘Al’."
A green layer is gradually formed on a copper plate left exposed to air for a week in a bathroom. What could this green substance be?, It is due to the formation of basic copper carbonate [CuC03.Cu(0H)2].
"Name the following:
(a) A metal, which is preserved in kerosene.
(b) A lustrous coloured non-metal.
(c) A metal, which can melt while kept on palm.
(d) A metal, which is a poor conductor of heat.","(a) Sodium is preserved in kerosene.
(b) Iodine is lustrous coloured non-metal.
(c) Gallium. ‘
(d) Lead."
"Explain why calcium metal after reacting with water starts floating on its * surface. Write the chemical equation for the reaction. Name one more metal
that starts floating after some time when immersed in water.",Calcium starts floating because the bubbles of hydrogen gas formed stick to the surface of metal.                                                  Ca(s) + 2H2O (l) = Ca(OH)2 + H2(g)                                                        Magnesium reacts with hot water and starts floating due to the bubbles of hydrogen gas sticking to its surface
"Give reason for the following:
(a) Aluminium oxide is considered as an amphoteric oxide.
(b) Ionic compounds conduct electricity in molten state.","(a) It is because it reacts with acids as well as bases to produce salts and water.’Al’ is less electropositive metal. So, it forms amphoteric oxide which can react with acid as well as base.
(b) Ionic compounds can conduct electricity in molten state because ions ’ become free to move in molten state."
"A metal ‘X’ acquires a green colour coating on its surface on exposure to air.
(i) Identify the metal ‘X’ and name the process responsible for this change.
(ii)Name and write chemical formula of the green coating formed on the metal.
(iii) List two important methods to prevent the process.","(i) Metal is copper. The process is corrosion.
(ii)Basic copper carbonate [CuCO3.Cu(0H)2].
(iii)
• It should be coated with tin
• It should be mixed with other metals to form alloys."
"a) Due to which property of metals are metallic foils prepared?
b) Write uses of aluminium foils","a) Metallic foils are prepared, making use of the malleable property of metals.
b) Aluminium foils are used for
(i) wrapping chocolates and food stuff
(ii) to prepare hydrogen."
"Name one non-metal and one metal, which are in liquid state at room temperature.","Bromine is the non–metal and mercury is the metal which are in liquid state at room temperature.

"
"Give reasons for the following
i) Zinc oxide is considered an amphoteric oxide.
ii) Non-metals in general do not displace hydrogen from dilute acids.
iii) Metals conduct electricity.","i) Zinc oxide is considered an amphoteric oxide because it shows both acidic and basic behaviour.
ii) Non-metals do not react with dilute acids hence do not displace hydrogen from dilute acids.
iii) thatMetals conduct electricity because they contain free electrons which can move easily through the metal and conduct electric current."
"Identify the following oxides with neutral, acidic, basic and amphoteric oxides.
i) Al2O3 ii) MgO iii) SO2 iv) CO; v) Na2O vi) N2O vii) ZnO viii) CO2 ix) SO3 x) CaO.","Neutral oxides: CO; N2O
Acidic oxides: SO2; CO2; SO3
Basic oxides: MgO; Na2O; CaO
Amphoteric oxides: Al2O3 ; ZnO"
"By what processes do you concentrate the following ores:
i) PbS(galena)
ii) Fe2O3(haematite)
iii) Al2O3.2H2O (bauxite)",") PbS (galena) is concentrated by froth floatation method.
ii) Fe2O3 (haematite) is concentrated by magnetic separation.
iii) Al2O3.2H2O (bauxite) is concentrated by leaching process (chemical method)."
"Why is that iron does not occur as a metal in the crust of the earth? What are the common compound forms in which iron occurs? Which of these is more often used for extracting iron? Why are carbon and limestone mixed with iron ore before feeding it into the blast furnace? Write the chemical equations for the reduction step and the slag formation step.
","Iron is quite reactive and so it does not occur as a metal in the crust of the earth. The common compounds formed are its oxide, a carbonate and a sulphide. The oxide ore of iron called haematite is more often used for extracting iron. The carbon and limestone which is mixed with iron ore is called the charge. This charge is responsible for the formation of iron metal. Coke acts the reducing agent and addition of limestone helps to remove the earthy impurities like sand from the blast furnace by forming fusible slag.
Reduction of Iron(III)oxide or haematite to Iron: carbon monoxide reduces iron(III)oxide to iron metal"
"i) What is the composition of molten slag, formed in the extraction of iron in the blast furnace?
ii) What is the use of slag?","Solution:
i) Molten slag in the extraction of iron is calcium silicate(CaSiO3).
ii) Slag is used for constructions of roads."
"Write the name of the compound, when iron is corroded?
","When iron is corroded rust is formed which is hydrated iron (III) oxide (Fe2O3.x.H2O)

"
"Give reasons for the following
i. Na, K and Ca metals form hydrides by combination with hydrogen gas, but most other metals do not.
ii. Aluminium easily combines with oxygen but still it can be used for making kitchen utensils.","i. Metals like Na, K and Ca can force the hydrogen atoms to accept electrons given by them and form hydrides.
ii. Aluminium forms a protective oxide layer when it combines with oxygen and hence it is used for making kitchen utensils."
"i) Among iron and aluminium which rusts easily?
ii) What are the conditions, necessary for rusting of iron?","i) Among iron and aluminium, iron rusts easily. It forms Al2O3. That is why iron pipes are wrapped with aluminium metal to prevent rusting of iron.
ii) 1) Air or oxygen 2) Water, containing dissolved air.
These are necessary conditions for rusting of iron."
"Name an ore of zinc other than zinc oxide. By what process can this ore be converted to zinc oxide.
","Zinc blende(ZnS) is an ore of zinc other than zinc oxide. Roasting is the process by which ZnS can be converted into zinc oxide.

"
"What property of hydrogen is observed in the following experiments?
i) Balloon, filled with hydrogen, floats.
ii) Pop sound is heard when a burning splint is introduced at the mouth of hydrogen filled jar.
iii) When black cupric oxide is heated in a stream of hydrogen, reddish colour is obtained","i) Hydrogen is light. So hydrogen filled balloons float.
ii) Pop sound is due to the combustible property of hydrogen. Hydrogen burns with oxygen at the mouth of the hydrogen filled jar.
iii) Hydrogen has reducing property. Hence it reduces black cupric oxide to red copper metal."
"Select the non-metals amongst the following
i) Bismuth ii) Sulphur iii) Arsenic iv) Hydrogen.","Hydrogen and Sulphur are the non-metals.

"
"How do you test ammonia gas?

","Ammonia gas is tested, by showing a drop of conc. HCl by means of a glass rod to it, when dense white fumes of ammonium chloride are formed.
Ammonium chloride (dense white fumes)."
"What are the uses of ammonia?
","i) Ammonia is used in the manufacture of fertilizers like ammonium sulphate and ammonium nitrate.
ii) To manufacture nitric acid by Ostwald’s process.
iii) To prepare dyes, explosives, cellulose acetate etc."
"Why do some metals like, Na, K, Ca, Mg not occur in nature as free elements?
","Metals like Na, K, etc (alkali metals) and Ca, Mg etc (alkaline earth metals) are very reactive and hence they react with atmospheric oxygen and carbon dioxide and also with other non-metals like sulphur present in the earth’s crust to form compounds like oxides, carbonates, sulphides, sulphates and chlorides. So they do not occur in free state, but are found in the form of the above compounds."
"Why are metals like sodium, calcium, magnesium, aluminium etc. obtained by electrolytic reduction?
","Metals like Na, Ca, Mg, Al etc, which are high up in the activity series are electropositive elements and possess a high affinity for oxygen. So their oxides are very much stable and cannot be reduced with common reducing agents like carbon. So carbon reduction process cannot be applied to prepare these metals. They can only be prepared by electrolytic reduction of their fused chlorides or oxides.

"
"The copper vessels used in homes are found to be coated with green colour. Answer the following.
a) What is the chemical composition of the green coating?
b) Why do copper vessels form such a green coating?
c) What is the name of the phenomenon, responsible for the green coating?
d) Copper vessels are best cleaned with tamarind or lemon juice, but not with soap. Why?","a) Green coloured coating on copper is due to the formation of basic copper carbonate, CuCO3.Cu(OH)2.
b) Copper forms green coating of basic copper carbonate as it reacts with water, atmospheric oxygen and carbon dioxide.
c) Corrosion phenomenon is responsible for the formation of basic copper carbonate (green).
d) Since basic copper carbonate is basic in nature, it can be removed by tartaric acid present in tamarind or citric acid, present in lemon. Soap is basic in nature. So copper vessels are best cleaned with tamarind or lemon."
"Give reasons for the following
i. Silicon counts among metalloids
ii. Carbon is not used for making aluminium from aluminium oxide.
iii. For making hydrogen by reaction with hydrochloric acid, granulated zinc is preferred to a block of zinc","i. Silicon shows properties of both metals and non-metals and hence silicon counts among metalloids.
ii. Carbon has less affinity for oxygen than Aluminium and hence it cannot eliminate oxygen from Aluminium oxide.
iii. Zinc granules are preferred to a block of zinc because it offers a large surface area for the reaction with the acid."
"(i) What is the colour of potassium dichromate solution?
(ii) What is the colour of Cr3+ ion?
(iii) What property of SO2 is responsible for bringing change of colour of potassium dichromate?","(i) Potassium dichromate solution is orange yellow colour.
(ii) The colour of Cr3+ ion is green.
(iii) Reducing property of sulphur dioxide is responsible to change the orange yellow colour of K2Cr2O7 to green colour."
"How is chloride of lime chemically different from calcium chloride? Why does chloride of lime gradually lose its chlorine when kept exposed to air?
","Chemically, chloride of lime is calcium oxy chloride, CaOCl2, also called bleaching powder. When exposed to air it gradually lose its chlorine because it reacts with carbon dioxide present in air to produce calcium carbonate and chlorine gas.

"
"Write short notes on the bleaching action of sulphur dioxide.
","a) Sulphur dioxide bleaches the vegetable colours in the presence of moisture.
b) It bleaches the vegetable colours by reduction. It removes oxygen from coloured material.
c) Its bleaching action is temporary, because atmospheric oxygen again oxidises the bleached article back to its original colour.
d) SO2 is used to bleach delicate fabrics like wool, silk etc."
"Name two metals used in making fuse wires.
","Copper and Aluminium are the two metals used in making fuse wires.
"
"Define the following terms
i) Mineral
ii) Ore
iii) gangue.","i) The inorganic elements or compounds which occur naturally in the earth’s crust are known as minerals.
ii) The minerals from which a metal can be profitably extracted are called ores.
iii) The impurity of sand and rocky materials present in the ore is known as gangue"
"a) State why hydrogen is said to be a clean fuel?
b) What property of hydrogen is involved in being a good fuel?
c) What is hydrogenation of oils? Write one application.","a) Hydrogen is a clean fuel because its reaction with oxygen produces only water. It does not form gases like CO2, NO2 etc, which pollute air.
b) Hydrogen, on combustion with oxygen, produces water and a lot of heat. This is an exothermic reaction.
c) Oils are unsaturated molecules, containing double bond. So hydrogen atoms are added at the double bonds of the molecules of oil. The reaction of hydrogen with oils is known as hydrogenation.
The hydrogenation reaction takes place at 473 K and in the presence of nickel catalyst.
Vanaspati or dalda ghee is prepared by hydrogenation of vegetable oils."
"How do metals react with hydrogen? Explain with an example.
","Only very few reactive metals like sodium, potassium, calcium and magnesium react with hydrogen to form metal hydrides. Example when hydrogen gas is passed overheated sodium, sodium hydride is formed.
"
"Name a metal which is stored in kerosene oil.
","Sodium is a metal which is stored in kerosene oil.
"
"Metals are electropositive in nature. Explain.
","Metals are electropositive in nature because they can form positive ions by the loss of electrons.
"
"Name the element or compound which is associated with Hall’s process.
","Aluminium is associated with Hall’s process.
"
"Which metal is used in nuclear reactors and aerospace projects?
","Aluminium is used in nuclear reactors and aerospace projects.

"
